job_title,job_description,company,location,skills,skills_count
sunt aut facere repellat provident occaecati excepturi optio reprehenderit,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
qui est esse,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
ea molestias quasi exercitationem repellat qui ipsa sit aut,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
eum et est occaecati,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
nesciunt quas odio,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
dolorem eum magni eos aperiam quia,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
magnam facilis autem,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
dolorem dolore est ipsam,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
nesciunt iure omnis dolorem tempora et accusantium,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
optio molestias id quia eum,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
et ea vero quia laudantium autem,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
in quibusdam tempore odit est dolorem,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
dolorum ut in voluptas mollitia et saepe quo animi,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
voluptatem eligendi optio,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
eveniet quod temporibus,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
sint suscipit perspiciatis velit dolorum rerum ipsa laboriosam odio,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
fugit voluptas sed molestias voluptatem provident,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
voluptate et itaque vero tempora molestiae,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
adipisci placeat illum aut reiciendis qui,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
doloribus ad provident suscipit at,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
asperiores ea ipsam voluptatibus modi minima quia sint,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
dolor sint quo a velit explicabo quia nam,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
maxime id vitae nihil numquam,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
autem hic labore sunt dolores incidunt,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
rem alias distinctio quo quis,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
est et quae odit qui non,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
quasi id et eos tenetur aut quo autem,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
delectus ullam et corporis nulla voluptas sequi,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
iusto eius quod necessitatibus culpa ea,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
a quo magni similique perferendis,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
ullam ut quidem id aut vel consequuntur,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
doloremque illum aliquid sunt,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
qui explicabo molestiae dolorem,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
magnam ut rerum iure,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
id nihil consequatur molestias animi provident,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
fuga nam accusamus voluptas reiciendis itaque,Cloud engineer with AWS and SQL skills,ABC Company,jaipur,"sql, aws",2
provident vel ut sit ratione est,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
explicabo et eos deleniti nostrum ab id repellendus,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
eos dolorem iste accusantium est eaque quam,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
enim quo cumque,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
non est facere,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
commodi ullam sint et excepturi error explicabo praesentium voluptas,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
eligendi iste nostrum consequuntur adipisci praesentium sit beatae perferendis,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
optio dolor molestias sit,Data Engineer needed with Spark and Hadoop knowledge,ABC Company,jaipur,"spark, hadoop",2
ut numquam possimus omnis eius suscipit laudantium iure,"Seeking backend developer with Python, Docker, Kubernetes",ABC Company,jaipur,"python, docker, kubernetes",3
aut quo modi neque nostrum ducimus,ETL developer with Airflow and data pipeline experience,ABC Company,jaipur,"airflow, etl, data pipeline",3
quibusdam cumque rem aut deserunt,Looking for Python and SQL developer with AWS experience,ABC Company,jaipur,"python, sql, aws",3
